Course Title,Course Info,Course Rating,Course Duration,Course Level,Source
Defending Against AI-Generated Attacks,"Defending Against AI-Generated Attacks
Dive into the dangerous world of AI phishing and learn how to protect yourself from attacks and misinformation.",Not applicable,Not applicable,Not applicable,CodeAcademy
Intro to AI Transformers,"Intro to AI Transformers
Learn about what transformers are (the T of GPT) and how to work with them using Hugging Face libraries",Not applicable,1,Intermediate,CodeAcademy
Intro to Midjourney,"Intro to Midjourney
Dive into the world of generative image-based-artificial intelligence (or AI) and learn how to use Midjourney!",Not applicable,1,Beginner,CodeAcademy
Optimizing Code with Generative AI Case Study,"Optimizing Code with Generative AI Case Study
Leverage generative AI tools to optimize code readability, maintainability, testability, and resource efficiency, fostering streamlined development.",Not applicable,1,Beginner,CodeAcademy
Intro to PyTorch and Neural Networks,"Intro to PyTorch and Neural Networks
Learn how to use PyTorch to build, train, and test artificial neural networks in this course.",Not applicable,2,Intermediate,CodeAcademy
Streamline Resume Creation with Generative AI Case Study,"Streamline Resume Creation with Generative AI Case Study
Use generative AI to create a custom resume, tailor-made to a specific job application that includes relevant keywords for improved discoverability.",Not applicable,1,Beginner,CodeAcademy
Creating Quick STEAM Activities with Generative AI Case Study,"Creating Quick STEAM Activities with Generative AI Case Study
Use generative AI to help in creating quick STEAM activities. Create items like lesson handouts, design specifications, material lists, and more.",Not applicable,1,Beginner,CodeAcademy
Pair Programming with Generative AI Case Study,"Pair Programming with Generative AI Case Study
Use generative AI for pair programming by teaming up with an AI system to generate Python code in the driver-navigator style of pair programming",Not applicable,1,Beginner,CodeAcademy
Unit Testing with Generative AI Case Study,"Unit Testing with Generative AI Case Study
Use generative AI to help create a unit test for Python code. Generative AI can generate unit tests for all of the functions of a Python class.",Not applicable,1,Beginner,CodeAcademy
Differentiate for Language and Reading Level With Generative AI Case Study,"Differentiate for Language and Reading Level With Generative AI Case Study
Use generative AI to create text at various levels of reading and language level. This can help streamline efforts for the creation of educational material",Not applicable,1,Beginner,CodeAcademy
Debug Python Code with Generative AI Case Study,"Debug Python Code with Generative AI Case Study
Use generative AI to resolve Python code issues. Generative AI can help you fix bugs, test and simulate code, optimize and improve performance, and much more.",Not applicable,1,Beginner,CodeAcademy
Write a Sales Outreach Email with Generative AI Case Study,"Write a Sales Outreach Email with Generative AI Case Study
Use generative AI to create an effective sales outreach email",Not applicable,1,Beginner,CodeAcademy
Intro to Hugging Face,"Intro to Hugging Face
Learn about the Hugging Face AI and machine learning platform, and how their tools can streamline ML and AI development.",Not applicable,1,Beginner,CodeAcademy
Prompt Engineering for Analytics,"Prompt Engineering for Analytics
Ready to tap into AI prompt engineering for data analytics? Learn how to use APIs to turn OpenAI's GPT model into your own personal analytics assistant.",Not applicable,1,Intermediate,CodeAcademy
Intro to GitHub Copilot,"Intro to GitHub Copilot
Learn how to use GitHub Copilot to streamline your workflow and expedite your development.",Not applicable,1,Intermediate,CodeAcademy
Intro to OpenAI GPT API,"Intro to OpenAI GPT API
Explore OpenAI's GPT API and learn how to write more effective generative AI prompts that help improve your results.",Not applicable,1,Beginner,CodeAcademy
Intro to LLMs,"Intro to LLMs
Learn how large language models (LLMs) work, how they're used, and what their adjustable parameters do.",Not applicable,1,Beginner,CodeAcademy
Intro to AI Strategy,"Intro to AI Strategy
Learn the basics of responsible AI use and how to navigate some of the most common AI risks and drawbacks.",Not applicable,1,Beginner,CodeAcademy
Creating Marketing Assets with Generative AI Case Study,"Creating Marketing Assets with Generative AI Case Study
Use ChatGPT and DALL-E 3 to create various forms of marketing assets from product descriptions to company logos.",Not applicable,1,Beginner,CodeAcademy
Prompt Engineering for Software Engineers,"Prompt Engineering for Software Engineers
Want to use AI programming tools to improve your coding? Learn the basics of prompt engineering and write quality prompts you can use to accomplish tasks.",Not applicable,1,Beginner,CodeAcademy
Learn the Role and Impact of Generative AI and ChatGPT,"Learn the Role and Impact of Generative AI and ChatGPT
Start your journey into the world of generative AI and ChatGPT and see the role they will have in shaping our future.",Not applicable,1,Beginner,CodeAcademy
Intro to Generative AI,"Intro to Generative AI
Dive into the many forms of generative AI and learn how we can best use these new technologies!",Not applicable,1,Beginner,CodeAcademy
Learn Explainable AI (XAI),"Learn Explainable AI (XAI)
Learn how to interpret the decision-making process of deep neural networks.",Not applicable,1,Beginner,CodeAcademy
Prompt Engineering for Marketing,"Prompt Engineering for Marketing
Leverage AI for marketing using prompt engineering with ChatGPT.",Not applicable,1,Beginner,CodeAcademy
Language Models in Python: Basic Chatbots,"Language Models in Python: Basic Chatbots
Build rules- and retrieval-based chatbots in Python.",Not applicable,5,Intermediate,CodeAcademy
Language Models in Python: Generative Chatbots,"Language Models in Python: Generative Chatbots
Build chatbots in Python using deep learning.",Not applicable,1,Intermediate,CodeAcademy
