Course Title,Course Info,Course Rating,Course Duration,Course Level,Source
Fashion as Design,"Not specified
Art History, Art, History, Creativity",4.8,20.0,Beginner,Coursera
Modern American Poetry,"Not specified
Not specified",4.4,34.0,Beginner,Coursera
Pixel Art for Video Games,"Not specified
Not specified",4.5,9.0,Beginner,Coursera
Distribución digital de la música independiente,"Not specified
Not specified",0.0,8.0,Beginner,Coursera
The Blues: Understanding and Performing an American Art Form,"Students will be able to describe the blues as an important musical form. Students will be able to explain differences in jazz and other variations of the blues. 
Music, Chord, Jazz, Jazz Improvisation",4.8,11.0,Beginner,Coursera
So You Think You Know Tango?,"Gain an appreciation for the Argentine Tango as a multidimensional art form, including music, dance, and poetry.List the components that make a tango.Eexplore the tango as a living art form today and how it can be used to cross cultural boundaries and stereotypes.
Not specified",4.6,5.0,Beginner,Coursera
The Politics of Skepticism,"Not specified
Not specified",4.5,13.0,Intermediate,Coursera
Становлення сучасної України,"Not specified
Not specified",0.0,23.0,Beginner,Coursera
Exploring Beethoven's Piano Sonatas Part 4,"Not specified
Not specified",4.9,5.0,Intermediate,Coursera
In the Studio: Postwar Abstract Painting,"Not specified
Art History, Art, History, Color Theory",4.9,26.0,Beginner,Coursera
Philosophy of Science,"Not specified
Not specified",4.7,12.0,Intermediate,Coursera
Basic Elements of Design: Design Principles and Software Overview,"Recognize ways to work with graphic designers and other creative professionals. Understand the history and design process of the graphic design profession.Compare the concepts of balance, proximity, alignment, repetition, contrast and space.Discover the use of white space to develop shape, form, and structure in graphic projects.
Print Design, online design, Color Theory, Graphic Design, textual elements",4.7,10.0,Beginner,Coursera
"Online Games: Literature, New Media, and Narrative","Not specified
Not specified",4.6,21.0,Beginner,Coursera
Concept Art for Video Games,"Not specified
Not specified",4.6,6.0,Not applicable,Coursera
The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,"Not specified
Not specified",4.8,11.0,Beginner,Coursera
Shaping Urban Futures,"Not specified
Urban sciences, Urban research, Knowledge generation through research",4.7,21.0,Intermediate,Coursera
Cultura Maya en Yucatán,"Conocerás los aspectos fundamentales de la Cultura Maya, los personajes  históricos así como su arquitectura y sus avances científicos.
Not specified",0.0,14.0,Beginner,Coursera
Antisemitismo: Desde sus orígenes hasta el presente,"A debatir qué es el antisemitismo y qué tiene de únicoA explicar las raíces históricas e ideológicas del antisemitismo y cómo se ha desarrollado ésteA debatir las características del antisemitismo en el presente díaA identificar el lenguaje y las acciones antisemitas en el pasado y en el presente
Holocaust, Middle East, Israel, defeatism",4.9,21.0,Beginner,Coursera
"Herencia negra, aplicación de ritmos afroperuanos","Not specified
Musical Notation, Musical Composition",0.0,16.0,Beginner,Coursera
Storytelling y medios digitales,"Not specified
Not specified",0.0,8.0,Beginner,Coursera
Overcoming  Challenges in Self and Society,"Not specified
Not specified",0.0,18.0,Beginner,Coursera
Proyecto final de Músico moderno,"Not specified
Not specified",4.6,9.0,Not applicable,Coursera
"Internal Displacement, Conflict and Protection","Not specified
•\tPractice navigating online in order to engage with specialised resources, •\tLearn to apply technical legal and policy categories to factual scenarios, •\tLearn to engage with technical concepts, •\tPractice sifting complex factual information to identify important features and trends, •\tPractice evaluating on-the-ground problems to identify pertinent solutions",4.9,27.0,Beginner,Coursera
"Health, Society, and Wellness in COVID-19 Times ","You will explore perspectives on disease and society and on systemic racism and inequality with scholars across disciplines.You will explore the science and practice of individual and community wellness. You will learn skills relevant to emotions, relationships, common mental health concerns, and learning in the age of Zoom and remote classes. You will learn practices of cooperation, compassion, and anti-racism for community wellness.
Education, COVID-19, health, Public Health, Health Care",4.6,52.0,Beginner,Coursera
Indigenous Canada,"Not specified
Art, History, Indigenous Studies, Human Rights and Allyship, Politics",4.8,21.0,Not applicable,Coursera
Graphic Design Specialization,"Gain the fundamental skills needed to be a graphic designerCommunicate through image-making and typographyComplete a capstone project to add to your professional portfolioLearn everything you need to know to work in interface design, motion graphics, and editorial design
Art History, Branding Communication, Visual Communication, Typography, Graphic Design",4.7,80.0,Beginner,Coursera
UI / UX Design Specialization,"Not specified
User Research, Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX)",4.7,80.0,Beginner,Coursera
Creative Writing Specialization,"Not specified
Short Story Writing, Fiction Writing, Creativity, Copy Editing",4.7,40.0,Beginner,Coursera
Modern and Contemporary Art and Design Specialization,"Develop a deeper understanding of artists’ and designers’ processes, including modes of experimentation and responses to technological innovation.Develop critical thinking and looking skills to understand how artists and designers respond to the social and cultural issues of their time.Gain confidence in looking at and talking about modern and contemporary art and design, and find inspiration from art all around you.Better comprehend the choices you make about fashion with respect to expression, identity, and issues such as labor practices and sustainability.
Design, Art, History, Photography, Museums",4.8,80.0,Beginner,Coursera
Game Design: Art and Concepts Specialization,"Ways to create and describe a game conceptEvaluation and interpretion of different story styles Concepts and approaches involved in creating successful character designs
Interactive Storytelling, Game Design Document, Video Game Design, Game Design",4.7,40.0,Beginner,Coursera
The DIY Musician Specialization,"Tools and techniques to write more compelling songs.Develop your identity and vision as an artist.Use ProTools to record and produce your original music.Strategies to plan, launch, and manage a successful crowdfunding campaign.
Social Media, Songwriting, Music production, Crowdfunding, Music recording",4.7,40.0,Beginner,Coursera
Music Production Specialization,"Identify and use reference tracks to establish a vision for your productionUse the Production Check-List to run an efficient and well-organized recording sessionEdit your tracks while using your reference tracks and emotional and dynamic timelines to realize your vision for your productionEvaluate your mix by crtically listening to it on different sound systems (ear buds, in the car, sound system, computer, etc.)
Audio Editing, Music, Sound Design, Audio Recording, Music production",4.8,40.0,Beginner,Coursera
The Business of Music Production Specialization,"The structure of the recording music industry and to read and interpret recording contractsHow to earn money with your recorded music by leveraging copyright lawCast a clear vision for a recording project and how to use the right tools to achieve your visionHow to record, edit, and mix a production using the industry standard digital audio workstation, Pro Tools
Copyright, Pro Tools, Music production, Music recording, Contracts",4.9,40.0,Beginner,Coursera
The Singer Songwriter Specialization,"The basics of playing the guitar, including chords, scales, strumming and picking patterns.How to sing in your preferred genre and style healthfully, using proper breathing and vocal techniques.Basic songwriting tools and techniques to augment your songwriting.How to record, edit, and mix music productions that include MIDI and audio to create professional sounding recordings of your music.  
Guitar, Singing, Ableton, Songwriting, Music production",4.8,80.0,Beginner,Coursera
"Songwriting: Writing, Arranging, and Producing Music Specialization","Generate lyrics that effectively convey the emotions you want to expressCreate melodies and accompaniment that support your lyricsDevelop balanced arrangements for live and recorded performancesProduce song demos using a DAW
Music, arranging, Songwriting, Producing",4.8,40.0,Beginner,Coursera
Fundamentals of Graphic Design,"Implement the fundamentals of color: visual, rhythm, and pattern in design Use scale, weight, direction, texture, and space in a composition Typeset text and experiment with letter formsCreate your own series of images using different image making techniques  
Creativity, Graphics, Design Theory, Color Theory",4.8,15.0,Beginner,Coursera
Photography Basics and Beyond: From Smartphone to DSLR Specialization,"Not specified
Social Media, Photography, Writing, Copywriting",4.8,80.0,Beginner,Coursera
Electronic Music Production Specialization,"The nature of sound and how natural sound is transformed into an electronic signal that we can recordHow to record, edit, and mix live instruments and MIDI in Ableton LiveHow to create custom sounds using a synthesizer and how to integrate those custom sounds for your musical compositionsHow to record, edit, mix, and add effects to vocal tracks for your electronic music productions
MIDI programming, File Management, Audio Recording, Ableton, Music Making, Sound Design, Create custom synthesizer patches, Create an electronic composition, Create custom patches in Strobe 2, Manipulate preset patches, Audio Editing, Music, Audio Production, Music Arrangement, Electronic Digital Instrument, Performance Technique, Live Looping",4.8,40.0,Intermediate,Coursera
Introduction to Philosophy,"Not specified
Not specified",4.7,19.0,Not applicable,Coursera
Introduction to Logic and Critical Thinking Specialization,"Understand and appreciate arguments that you and other people presentDetermine whether or not an argument is deductively validAnalyze and assess five common forms of inductive arguments Recognize fallacies
logic, Critical Thinking, Business Communication, Communication, analysis, reason",4.6,80.0,Beginner,Coursera
Finding Your Professional Voice: Confidence & Impact,"Learners will use the embodied voice to engage and connect with an audience is a vital element in dynamic verbal exchange.  
Speak with greater clarity, Identify current vocal behaviors connected to speaking and have techniques to address them., Speak with confidence and connection, How to convey meaning and make messages compelling",4.7,9.0,Beginner,Coursera
Memoir and Personal Essay: Write About Yourself Specialization,"Not specified
Essay Writing, Creativity, Non-fiction Writing, Storytelling, Writing",4.4,40.0,Beginner,Coursera
Fundamentals of Music Theory,"Not specified
Notation, Scales, Chords, Harmony, Rhythm",4.5,11.0,Beginner,Coursera
Visual Elements of User Interface Design,"Not specified
User Interface Design (UI Design), User Experience (UX), Graphic Design",4.7,16.0,Beginner,Coursera
"Teaching with Art: Using Inquiry, Activities, and Themes Specialization","Learn the ways inquiry, activities, and accessible themes can support students’ creative thinking.Explore how to enhance students’ ability to make connections between classroom content and their prior knowledge and experiences. 
Develop open-ended inquiry-based lessons, Develop inquiry-based lessons using open-ended questions, Create engaging multimodal activities to encourage active learning, Build lessons around themes, Cultivate collective meaning making using Social Emotional Learning strategies",4.9,40.0,Intermediate,Coursera
Greek and Roman Mythology,"Not specified
Art History, Greek Mythology, History, Mythology",4.8,24.0,Not applicable,Coursera
Write A Feature Length Screenplay For Film Or Television,"You will learn how to write and complete a full-length, feature film screenplay. You will have a finished script in hand at the end of the course.
Creative Writing, Filmmaking, Script Writing, Film and Televison Writing, Screenwriting",4.6,93.0,Beginner,Coursera
Creative Writing: The Craft of Plot,"Not specified
Short Story Writing, Fiction Writing, Creativity, Copy Editing",4.7,5.0,Not applicable,Coursera
Making Architecture,"Not specified
Not specified",4.8,13.0,Beginner,Coursera
Graphic Design Elements for Non-Designers Specialization,"Appreciate the study of design layout and conceptual elements concerning design projects.Analyze basic design concepts to apply in the professional setting, including typography, color theory, image selection, and layout best practices.Design foundational creative projects, including business card, brochures, ads, websites and manuals.Discover techniques for working and communicating with graphic designers and other creative professionals.
Print Design, textual elements and manipulation, online design, Color Theory, Graphic Design",4.7,40.0,Beginner,Coursera
Write Your First Novel,"You will learn how to write and complete a full-length novel of 50,000 words. You will have a finished manuscript in hand at the end of the course.
Creative Writing, Story Telling, Novel Writing",4.3,127.0,Beginner,Coursera
Introduction to Typography,"Review the terminology and measuring system used to describe typeExplore how typefaces tell stories and understand the historic evolutionConduct a peer-reviewed typesetting exerciseDesign of a full-scale typographic poster
Adobe Illustrator, Adobe Indesign, History, Creativity, Graphics",4.8,8.0,Beginner,Coursera
How to Play Guitar Specialization,"Not specified
Guitar, Music, Guitar scales, Guitar chords, guitar performance",4.8,40.0,Beginner,Coursera
Developing Your Musicianship Specialization,"Aurally identify musical intervals, chords, and chord progressionsWrite and practice major and minor scales in a variety of keysCompose a 12-bar blues with a melodyDefine and discuss harmonic function and modal interchange
Music, Chord, Jazz, Scales, Music theory",4.9,40.0,Beginner,Coursera
Become a Journalist: Report the News! Specialization,"Not specified
Professional, Multimedia, Writing, News Writing, Journalism",4.7,80.0,Beginner,Coursera
Modern Art & Ideas,"Not specified
Art History, Art, History, Creativity, Art Direction",4.8,13.0,Beginner,Coursera
English Composition I,"Not specified
Essay Writing, English Language, Academic Writing, Editing",4.6,25.0,Beginner,Coursera
"The Modern World, Part One: Global History from 1760 to 1910","Not specified
Not specified",4.8,15.0,Beginner,Coursera
The Cycle: Management of Successful Arts and Cultural Organizations,"Not specified
Fundraising, Management, Marketing, Planning",4.8,12.0,Beginner,Coursera
Art for Games  Specialization,"Not specified
Design, Animation, 3d modeling, Video Game Development, concept art",4.5,40.0,Beginner,Coursera
The Art of Music Production,"Discuss why one musical recording is more compelling than another and identify the unique elements of the recording that contribute to itBegin to assess and establish your identity, vision, and intention as an artist and producerWrite and develop a compelling piece of music by utilizing various toolsEstablish the sonic signature of your production by utilizing specific production techniques
Music, Songwriting, Music production, Audio Production, Music recording",4.8,13.0,Intermediate,Coursera
Introduction to Game Design,"Not specified
Video Game Development, Gameplay, Video Game Design, Game Design",4.7,6.0,Beginner,Coursera
Getting Started With Music Theory,"Not specified
Not specified",4.5,13.0,Beginner,Coursera
Feminism and Social Justice,"Explain the working definition of feminism.Compose a personal definition of feminism.Discuss the role of protest in feminism and social justice.
Not specified",4.8,8.0,Beginner,Coursera
