Course Title,Course Info,Course Rating,Course Duration,Course Level,Source,Course Info Translate,Course Title Translate
Privacy and Standardisation Specialization,"Discover the huge societal role of standards and value the development and fundamentals of good standardsRelate privacy and data protection to human rights and freedomsCompare legal fundamentals in European and American privacy law and analyse their differencesDiscover the precarious balance between technological advancement and privacy Not specified Privacy in the Western World, Privacy in the USA, Privacy in Europe, Standardisation & Technology, Privacy & Standardisation Capstone DataScience",4.2,80.0,Intermediate,Coursera,"Discover the huge societal role of standards and value the development and fundamentals of good standardsRelate privacy and data protection to human rights and freedomsCompare legal fundamentals in European and American privacy law and analyse their differencesDiscover the precarious balance between technological advancement and privacy Not specified Privacy in the Western World, Privacy in the USA, Privacy in Europe, Standardisation & Technology, Privacy & Standardisation Capstone DataScience",Privacy and Standardisation Specialization
The Science of the Solar System,"Not specified Solar Systems, Chemistry, Geology, Astrobiology Unit 1: Water on Mars (week 1), Unit 1: Water on Mars (week 2), Unit 1: Water on Mars (week 3), Unit 2: The insides of giant planets  (week 1), Unit 2: The insides of giant planets (week 2), Unit 3: Big questions from small bodies (week 1), Unit 3: Big questions from small bodies (week 2), Unit 4: Life in the solar system (week 1),  Unit 4: Life in the solar system and beyond (week 2), Final exam DataScience",4.8,29.0,Not applicable,Coursera,"Not specified Solar Systems, Chemistry, Geology, Astrobiology Unit 1: Water on Mars (week 1), Unit 1: Water on Mars (week 2), Unit 1: Water on Mars (week 3), Unit 2: The insides of giant planets (week 1), Unit 2: The insides of giant planets (week 2), Unit 3: Big questions from small bodies (week 1), Unit 3: Big questions from small bodies (week 2), Unit 4: Life in the solar system (week 1), Unit 4: Life in the solar system and beyond (week 2), Final exam DataScience",The Science of the Solar System
Human Anatomy & Physiology II Specialization,"Not specified Integration of Systems, Anatomical Terminology, Physiological Processes, Organ Systems, Lifelong Learning, Interdisciplinary Perspective, Clinical Relevance, Research and Information Literacy, Medical Terminology Anatomy & Physiology: Fluids, Transport, and Defense, Anatomy & Physiology: Exchange and Energy, Anatomy & Physiology: Filtration and Reproduction DataScience",0.0,36.0,Intermediate,Coursera,The text is already in English.,Human Anatomy & Physiology II Specialization
Web Technologies and Security Specialization,"Create a web app in Vue and Angular Computer Programming, vuejs, JavaScript, Angularjs, Security Strategy Introduction to VueJS Framework, Software Security for Web Applications, Data Security for Web Developers, Angular for Front End Engineers DataScience",4.4,40.0,Beginner,Coursera,"Create a web app in Vue and Angular Computer Programming, vuejs, JavaScript, Angularjs, Security Strategy Introduction to VueJS Framework, Software Security for Web Applications, Data Security for Web Developers, Angular for Front End Engineers DataScience",Web Technologies and Security Specialization
"Introduction to Data, Signal, and Image Analysis with MATLAB","Learners will understand how signals, images, and data are represented and manipulated in MATLAB Learners will gain experience with methods for data visualization, including high dimensional datasets in MATLABLearners will apply machine learning methods for data classification and prediction in MATLABLearners will learn essential signal frequency analysis and image processing methods in MATLAB Not specified Introduction, Data analysis in MATLAB, Signal Analysis in Matlab, Image Analysis in Matlab, Final Project DataScience",4.7,23.0,Intermediate,Coursera,"Learners will understand how signals, images, and data are represented and manipulated in MATLAB Learners will gain experience with methods for data visualization, including high dimensional datasets in MATLABLearners will apply machine learning methods for data classification and prediction in MATLABLearners will learn essential signal frequency analysis and image processing methods in MATLAB Not specified Introduction, Data analysis in MATLAB, Signal Analysis in Matlab, Image Analysis in Matlab, Final Project DataScience","Introduction to Data, Signal, and Image Analysis with MATLAB"
Introduction to Relational Databases,"Describe what relational databases are, and how they are used.Master the Relational Database Model.Demonstrate comprehensive SQL skills. Data Model, Relational Algebra, Relational Database, SQL, Database Theory Module 1: Database Overview, Module 2: Relational Algebra, Module 3: SQL, Summative Course Assessment  DataScience",0.0,48.0,Beginner,Coursera,"Relational databases are a type of database that stores and organizes data in tables with rows and columns. They are used to efficiently manage and retrieve data in a structured way. To master the Relational Database Model, one must understand the concepts of Data Model, Relational Algebra, Relational Database, and SQL. This includes having comprehensive SQL skills to manipulate and query data effectively. The course modules cover Database Overview, Relational Algebra, and SQL, with a final assessment to test understanding of the material.",Introduction to Relational Databases
Population Health: Predictive Analytics,"Understand the role of predictive analytics for prevention, diagnosis, and effectivenessExplain key concepts in prediction modelling: appropriate study design, adequate sample size and overfittingUnderstand important issues in model development, such as missing data, non-linear relations and model selectionKnow about ways to assess model quality through performance measures and validation Predictive Analytics, medical statistics, R Programming, Regression Analysis Welcome to Leiden University, Prediction for prevention, diagnosis, and effectiveness, Modeling Concepts, Model development, Model validation and updating DataScience",4.6,17.0,Intermediate,Coursera,"Understand the role of predictive analytics for prevention, diagnosis, and effectivenessExplain key concepts in prediction modelling: appropriate study design, adequate sample size and overfittingUnderstand important issues in model development, such as missing data, non-linear relations and model selectionKnow about ways to assess model quality through performance measures and validation Predictive Analytics, medical statistics, R Programming, Regression Analysis Welcome to Leiden University, Prediction for prevention, diagnosis, and effectiveness, Modeling Concepts, Model development, Model validation and updating DataScience",Population Health: Predictive Analytics
Vital Signs: Understanding What the Body Is Telling Us,"Not specified Dolor Assessment, Metabolic Pathways, Vital Signs, Pain Management Week 1: Pulse/Heart Rate, Week 2: Blood Pressure, Week 3: Metabolism, Week 4: Temperature, Week 5: Respiration Rate, Week 6: Pain Health",4.8,13.0,Not applicable,Coursera,"Not specified Dolor Assessment, Metabolic Pathways, Vital Signs, Pain Management Week 1: Pulse/Heart Rate, Week 2: Blood Pressure, Week 3: Metabolism, Week 4: Temperature, Week 5: Respiration Rate, Week 6: Pain Health",Vital Signs: Understanding What the Body Is Telling Us
Stanford Introduction to Food and Health,"Not specified Health Informatics, Nutrition, Food Safety, Food Science Background on Food & Nutrients, Contemporary Trends in Eating, Future Directions in Health - Part I, Future Directions in Health - Part 2, Cooking Workshop, Recommended Optional Resources Health",4.7,6.0,Beginner,Coursera,"Not specified Health Informatics, Nutrition, Food Safety, Food Science Background on Food & Nutrients, Contemporary Trends in Eating, Future Directions in Health - Part I, Future Directions in Health - Part 2, Cooking Workshop, Recommended Optional Resources Health",Stanford Introduction to Food and Health
Science of Exercise,"Explain the relationship between exercise and the body's physiological responses, including carbohydrate, fat, and protein metabolismDescribe the role of nutritional choices and their impact on health and trainingSummarize the factors that contribute to muscle soreness, fatigue, and the dangers associated with performance-enhancing drugs Training, Nutrition, Fitness And Nutrition, Public Health The Energetics of Exercise, Physiological Systems During Exercise, Exercise for Fitness & Performance, Exercise in Health, Wellness and Disease Health",4.8,9.0,Beginner,Coursera,The text is already in English.,Science of Exercise
