Course Title,Course Info,Course Rating,Course Duration,Course Level,Source
Windows PowerShell and Regular Expressions,"Windows PowerShell and Regular Expressions
If you are a PowerShell Pro who needs to know what regular expressions are and how to take advantage of them in PowerShell, then this course is for you. Learn the regex fundamentals, from matching, splitting, replacing, to turning text into objects.",Not applicable,2.22,Intermediate,Pluralsight
Ethernet Operation and Switch Configuration,"Ethernet Operation and Switch Configuration
Since Ethernet is a widely used protocol in data networking, you'll spend most of the course examining Ethernet. You'll also examine physical components required for networking, as well as the layer 2 protocols used in network communication.",Not applicable,3.07,Intermediate,Pluralsight
Cisco Enterprise Networks: Basic Networking and IP Fundamentals,"Cisco Enterprise Networks: Basic Networking and IP Fundamentals
Master the fundamental network principles needed to pass the CCNP ENCOR 350-401 exam for the CCNP Enterprise certification. This first course in the series covers fundamentals such as IPv4 & IPv6 addressing, dynamic routing, & TCP and UDP operations.",Not applicable,1.75,Intermediate,Pluralsight
Ethical Hacking: Vulnerability Analysis,"Ethical Hacking: Vulnerability Analysis
Vulnerability assessment plays a major role in providing security to any organization’s resources and infrastructure from various internal and external threats. This course will teach you vulnerability analysis techniques needed for the Certified Ethical Hackers exam",Not applicable,1.42,Intermediate,Pluralsight
Performing Malware Analysis on Malicious Documents,"Performing Malware Analysis on Malicious Documents
Malicious documents have become a form of malware that all incident responders need to be able to analyze. This course will teach you how to analyze malicious Adobe PDF and Microsoft Office documents, along with any malicious scripts they contain.",Not applicable,2.98,Intermediate,Pluralsight
Cisco Core Security: Describing and Configuring VPNs,"Cisco Core Security: Describing and Configuring VPNs
VPNs secure business traffic over the unprotected internet. Learn how to deploy either site-to-site VPNs using Cisco routers, or remote access VPNs using an ASA, or FTD.",Not applicable,3.65,Intermediate,Pluralsight
Swift Fundamentals,"Swift Fundamentals
Swift is the modern, fast, and safe programming language that has rapidly become the first choice for building iOS and macOS apps. This course serves as a firm foundation in Swift, including core syntax, best practices, working with data, and more.",Not applicable,3.8,Beginner,Pluralsight
Getting Started with Model-driven Apps in Power Apps (PL-100),"Getting Started with Model-driven Apps in Power Apps (PL-100)
Model-driven apps offer a no-code way to develop rich, responsive apps on top of your data. This course will teach you how to develop an end-to-end model-driven app using Power Apps.",Not applicable,2.03,Beginner,Pluralsight
Computer Vision: Executive Briefing,"Computer Vision: Executive Briefing
Computer Vision gives applications the ability to ""see"" the world around them and react accordingly with close-to-human accuracy. Watch and learn how Computer Vision opens a whole new world of possibilities for you and your applications.",Not applicable,0.48,Beginner,Pluralsight
Provisioning and Managing Networks Using Common Automation Tools,"Provisioning and Managing Networks Using Common Automation Tools
Learning network automation can be challenging, especially when you have no business problem to solve. This course will start at day 0 by building up a small network, configuring it, then monitoring its performance over time.",Not applicable,2.78,Intermediate,Pluralsight
