Course Title,Course Info,Course Rating,Course Duration,Course Level,Source
Ultimate AWS Certified Solutions Architect Associate SAA-C03,"Ultimate AWS Certified Solutions Architect Associate SAA-C03
Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C03!",4.7,27.5 ,All Levels,Udemy
[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02,"[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02
Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!",4.7,15 ,Beginner,Udemy
Learn Ethical Hacking From Scratch,"Learn Ethical Hacking From Scratch
Become an ethical hacker that can hack like black hat hackers and secure systems like cybersecurity experts",4.6,16 ,All Levels,Udemy
AZ-900: Microsoft Azure Fundamentals Exam Prep - JAN 2024,"AZ-900: Microsoft Azure Fundamentals Exam Prep - JAN 2024
Learn the fundamentals of Azure, and get certified, with this complete beginner's AZ-900 course, includes practice test!",4.6,7.5 ,Beginner,Udemy
Ultimate AWS Certified Developer Associate 2024 NEW DVA-C02,"Ultimate AWS Certified Developer Associate 2024 NEW DVA-C02
Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C02",4.7,33.5 ,All Levels,Udemy
Kubernetes for the Absolute Beginners - Hands-on,"Kubernetes for the Absolute Beginners - Hands-on
Learn Kubernetes in simple, easy and fun way with hands-on coding exercises. For beginners in DevOps.",4.6,6 ,Beginner,Udemy
TOTAL: CompTIA A+ Core 1 (220-1101) Course + Exam,"TOTAL: CompTIA A+ Core 1 (220-1101) Course + Exam
Everything you need to pass A+ Certification Core 1 (220-1101) Exam, Mike Meyers and Total Seminars!",4.7,15.5 ,All Levels,Udemy
CompTIA Security+ (SY0-701) Complete Course & Exam,"CompTIA Security+ (SY0-701) Complete Course & Exam
CompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!",4.7,31 ,All Levels,Udemy
Certified Kubernetes Administrator (CKA) with Practice Tests,"Certified Kubernetes Administrator (CKA) with Practice Tests
Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA",4.7,23 ,All Levels,Udemy
Cisco CCNA 200-301 – The Complete Guide to Getting Certified,"Cisco CCNA 200-301 – The Complete Guide to Getting Certified
The top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&A",4.8,40 ,Beginner,Udemy
Microsoft Azure - Beginner's Guide + AZ-900,"Microsoft Azure - Beginner's Guide + AZ-900
Beginning your journey on Microsoft Azure",4.6,14.5 ,Beginner,Udemy
Docker for the Absolute Beginner - Hands On - DevOps,"Docker for the Absolute Beginner - Hands On - DevOps
Learn Docker with Hands On Coding Exercises. For beginners in DevOps",4.6,4.5 ,Beginner,Udemy
The Complete Oracle SQL Certification Course,"The Complete Oracle SQL Certification Course
Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",4.6,16.5 ,All Levels,Udemy
How to use ChatGPT and Generative AI to help create content,"How to use ChatGPT and Generative AI to help create content
Master the art of language AI: Learn to generate high-quality content, automate tasks, and unleash your creativity.",4.5,6 ,All Levels,Udemy
The Complete Networking Fundamentals Course. Your CCNA start,"The Complete Networking Fundamentals Course. Your CCNA start
Learn about networking and start your journey to Cisco 200-301 Certification.",4.6,79.5 ,Beginner,Udemy
AZ-104 Microsoft Azure Administrator Exam Prep - OCT 2023,"AZ-104 Microsoft Azure Administrator Exam Prep - OCT 2023
Prove your AZ-104 Microsoft Azure Administrator skills to the world. Updated.",4.6,18 ,Intermediate,Udemy
Learn Linux in 5 Days and Level Up Your Career,"Learn Linux in 5 Days and Level Up Your Career
Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.",4.5,13.5 ,All Levels,Udemy
The Absolute Beginners Guide to Cyber Security 2024 - Part 1,"The Absolute Beginners Guide to Cyber Security 2024 - Part 1
Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD &amp; more",4.6,5 ,Beginner,Udemy
Blockchain and Bitcoin Fundamentals,"Blockchain and Bitcoin Fundamentals
Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.",4.6,3 ,Beginner,Udemy
The Complete Salesforce Certified Administrator Course + AI,"The Complete Salesforce Certified Administrator Course + AI
225 New Lessons Added! Includes Practice Test and AI ChatGPT Prompts - Most In-Depth and Current Admin Course Here!",4.6,40 ,All Levels,Udemy
AWS Certified Cloud Practitioner (CLF-C02) Exam Training,"AWS Certified Cloud Practitioner (CLF-C02) Exam Training
[2024] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice Exam",4.6,13.5 ,Beginner,Udemy
AZ-900 Microsoft Azure Fundamentals in a Weekend,"AZ-900 Microsoft Azure Fundamentals in a Weekend
PASS AZ-900 in a WEEKEND. GET Azure Certification - Microsoft Azure Fundamentals.",4.6,9 ,Beginner,Udemy
TOTAL: CompTIA Security+ Certification Course + Exam SY0-701,"TOTAL: CompTIA Security+ Certification Course + Exam SY0-701
Everything you need to pass the CompTIA Security+ (SY0-701) exam from Mike Meyers, Dan Lachance, and Lyndon Williams!",4.6,20.5 ,All Levels,Udemy
Complete Linux Training Course to Get Your Dream IT Job 2024,"Complete Linux Training Course to Get Your Dream IT Job 2024
The BEST Linux Administration course that prepares you for corporate jobs and for RHCSA, RHCE, LFCS, CLNP certifications",4.7,36 ,All Levels,Udemy
TOTAL: CompTIA Network+ (N10-008) Course + Exam,"TOTAL: CompTIA Network+ (N10-008) Course + Exam
Everything you need to pass the CompTIA Network+ Exam (N10-008) from Mike Meyers and Joe Ramm! Includes a practice exam.",4.6,22 ,All Levels,Udemy
API and Web Service Introduction,"API and Web Service Introduction
Includes API, Web Services using REST, JSON, XML, HTTP, SOAP, OAuth, OpenID Connect, Postman and Python",4.5,7 ,Beginner,Udemy
Linux Command Line Basics,"Linux Command Line Basics
This is an introductory course to the Linux command Line. It's great for both Linux beginners and advanced Linux users.",4.6,5 ,All Levels,Udemy
AWS Certified Solutions Architect Associate Practice Exams,"AWS Certified Solutions Architect Associate Practice Exams
Be an AWS Solutions Architect! AWS Certified Solutions Architect Associate Practice Tests for SAA-C03 topics!",4.6,Not applicable,All Levels,Udemy
AZ-900 Bootcamp: Microsoft Azure Fundamentals (FEB 2024),"AZ-900 Bootcamp: Microsoft Azure Fundamentals (FEB 2024)
Updated AZ-900 Course with 120+ Lectures, Hands-On Labs, Exam Simulator, Flashcards, 48-Page Workbook, and More",4.6,9 ,Beginner,Udemy
AZ-900: Microsoft Azure Fundamentals Original Practice Tests,"AZ-900: Microsoft Azure Fundamentals Original Practice Tests
Three complete timed practice tests for AZ-900 Azure Fundamentals exam, 150 questions, 100% original material",4.5,Not applicable,Beginner,Udemy
AWS Certified Cloud Practitioner Practice Exams 2024,"AWS Certified Cloud Practitioner Practice Exams 2024
[CLF-C02] Six NEW Amazon AWS Certified Cloud Practitioner Practice Tests | Cover All Exam Topics | Detailed Explanations",4.6,Not applicable,Beginner,Udemy
6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02,"6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02
Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!",4.6,Not applicable,Beginner,Udemy
AZ-204 Developing Solutions for Microsoft Azure - OCT 2023,"AZ-204 Developing Solutions for Microsoft Azure - OCT 2023
The most complete course available on the Microsoft Azure developer exam AZ-204 with timed practice test.",4.5,11 ,Intermediate,Udemy
Linux Administration Bootcamp: Go from Beginner to Advanced,"Linux Administration Bootcamp: Go from Beginner to Advanced
Learn Red Hat Linux & CentOS: Use the in-demand skills to start a career as a Linux Server Admin or Linux Administrator!",4.5,9.5 ,All Levels,Udemy
GCP Associate Cloud Engineer - Google Cloud Certification,"GCP Associate Cloud Engineer - Google Cloud Certification
GCP ACE - Google Cloud Associate Cloud Engineer certification. Begin your Google Cloud Platform - GCP journey!",4.6,18 ,All Levels,Udemy
Linux Mastery: Master the Linux Command Line in 11.5 Hours,"Linux Mastery: Master the Linux Command Line in 11.5 Hours
Learn the Linux Command Line from Scratch and Improve your Career with the World's Most Fun Project-Based Linux Course!",4.7,10.5 ,Beginner,Udemy
AWS Certified Cloud Practitioner 2024 [NEW],"AWS Certified Cloud Practitioner 2024 [NEW]
Video Course + Practice Exams | Pass the AWS Cloud Practitioner Exam!",4.6,24.5 ,Beginner,Udemy
Six Sigma: Certified Lean Six Sigma White Belt (Accredited),"Six Sigma: Certified Lean Six Sigma White Belt (Accredited)
Six Sigma White Belt Certification (Accredited) | Six Sigma White Belt &amp; Seven Basic Tools of Quality (Earn PDUs | CPDs)",4.6,2.5 ,Beginner,Udemy
AWS Certified Cloud Practitioner Practice Exams CLF-C02,"AWS Certified Cloud Practitioner Practice Exams CLF-C02
[2024] AWS Certified Cloud Practitioner [CLF-C02] 6 Practice Tests + Exam Simulator + Explanations + AWS Cheat Sheets",4.6,Not applicable,All Levels,Udemy
DevOps Beginners to Advanced with Projects,"DevOps Beginners to Advanced with Projects
Begin DevOps Career As an Absolute Beginner | AWS, Linux, Scripts, Jenkins, Ansible, GitOps, Docker,Kubernetes, &amp;ChatGPT",4.6,55 ,All Levels,Udemy
Scrum for Beginners + Scrum Master Certification Preparation,"Scrum for Beginners + Scrum Master Certification Preparation
[UNOFFICIAL] Learn Scrum, understand the Agile principles &amp; prepare for your Agile/Scrum Master certification in 2024",4.7,13.5 ,All Levels,Udemy
HashiCorp Certified: Terraform Associate 2024,"HashiCorp Certified: Terraform Associate 2024
All in One course for learning Terraform and gaining the official Terarform Associate Certification (003).",4.7,17 ,Beginner,Udemy
TOTAL: CompTIA A+ Core 2 (220-1102) Course + Exam,"TOTAL: CompTIA A+ Core 2 (220-1102) Course + Exam
Everything you need to pass the A+ Cert. Core 2 (220-1102) Exam, from Mike Meyers and Total Seminars with practice exam.",4.8,18 ,All Levels,Udemy
PL-300 certification: Microsoft Power BI Data Analyst,"PL-300 certification: Microsoft Power BI Data Analyst
Learn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M, more. (Was DA-100)",4.6,29 ,Beginner,Udemy
AZ-104 Microsoft Azure Administrator Certification,"AZ-104 Microsoft Azure Administrator Certification
Prepare for your Microsoft AZ-104 exam.",4.6,27.5 ,All Levels,Udemy
Azure DevOps Boards for Project Managers/Analyst/Developers,"Azure DevOps Boards for Project Managers/Analyst/Developers
Microsoft Project Management tool Azure DevOps Boards. TFS / VSTS is now Azure DevOps.",4.5,1.5 ,Beginner,Udemy
PLC Fundamentals (Level I),"PLC Fundamentals (Level I)
This course will give a person with no prior experience the basic tools necessary to create a PLC program from scratch.",4.5,22.5 ,Beginner,Udemy
The Beginners 2024 Cyber Security Awareness Training Course,"The Beginners 2024 Cyber Security Awareness Training Course
Learn to Spot Targeted Email Phishing, Social Engineering Attacks, Hacker Tactics, Browser &amp; Mobile Threats &amp; Much More",4.5,3.5 ,Beginner,Udemy
Website Hacking / Penetration Testing,"Website Hacking / Penetration Testing
Hack websites & web applications like black hat hackers and secure them like experts.",4.6,10.5 ,All Levels,Udemy
CompTIA Network+ (N10-008) Full Course & Practice Exam,"CompTIA Network+ (N10-008) Full Course & Practice Exam
CompTIA Network+ (N10-008) Bootcamp - Certification preparation course on the most popular networking certification!",4.7,26 ,Beginner,Udemy
Complete Agile Scrum Master Certification Training,"Complete Agile Scrum Master Certification Training
Prep Course for Professional Scrum Master 1 (PSM I). Agile Scrum Simulation + 340 Practice Questions + [EXTRA] PSM II",4.7,6 ,Beginner,Udemy
